pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
109.225,-52.125,-90.0,bottom,C49,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
132.32,-68.0,180.0,top,C5,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
115.575,-52.125,-90.0,bottom,C50,GRM21BR71E225KE11L,,C_0805_2012Metric,2u2,smt
121.7,-84.325,0.0,top,C51,GRM21BZ71H475KE15L,,C_0805_2012Metric,4u7,smt
124.35,-78.675,-90.0,top,C52,GRM21BZ71E106KE15K,,C_0805_2012Metric,10uF,smt
129.92,-70.5,180.0,top,C6,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
133.5,-61.4,-90.0,top,C7,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
134.95,-61.725,-90.0,top,C8,GRM21BZ71E106KE15K,,C_0805_2012Metric,10uF,smt
136.295,-57.3,180.0,top,C9,GRM155R71H104KE14D,,C_0402_1005Metric,100nF,smt
133.95,-52.15,180.0,top,D1,150044M155260,,LED_Wurth_150044M155260,STAT_LED,smt
148.77,-53.4,180.0,top,D2,"PESD3V3L1BA,115 ",,D_SOD-323F,PESD3V3L1BA,smt
145.27,-53.4,0.0,top,D3,"PESD3V3L1BA,115 ",,D_SOD-323F,PESD3V3L1BA,smt
145.27,-59.45,0.0,top,D4,"PESD3V3L1BA,115 ",,D_SOD-323F,PESD3V3L1BA,smt
148.77,-59.45,180.0,top,D5,"PESD3V3L1BA,115 ",,D_SOD-323F,PESD3V3L1BA,smt
141.82,-57.6,90.0,top,D6,"PESD3V3L1BA,115 ",,D_SOD-323F,PESD3V3L1BA,smt
137.85,-83.525,0.0,top,D7,"PESD3V3L1BA,115 ",,D_SOD-323F,PESD3V3L1BA,smt
120.5,-72.25,0.0,top,D8,150040VS73240,,LED_0402_1005Metric,~,smt
135.8625,-58.95,180.0,top,FB1,BLM21AG121BH1D,,R_0805_2012Metric,120R,smt
138.55,-77.2875,-90.0,top,FB2,BLM21AG121BH1D,,R_0805_2012Metric,120R,smt
149.075,-83.075,90.0,top,J2,DM3AT-SF-PEJM5 ,,microSD_HC_Hirose_DM3AT-SF-PEJM5,microSD PushPush Receptacle,smt
111.565,-96.15,180.0,bottom,J3,SJ3-35083B-TR,,SAMESKY_SJ3-35083B-TR,AudioJack3_SwitchT,tht
134.2,-99.675,0.0,top,J4,USB4105-GF-A ,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Input,smt
125.125,-84.4,90.0,bottom,J5,53048-0310,,Molex_PicoBlade_53048-0310_1x03_P1.25mm_Horizontal,Molex 3p 1.25mm,tht
125.765,-91.1,180.0,top,L1,XAL4020-222MEC ,,L_Coilcraft_XAL4020-XXX,2u2,smt
121.675,-75.85,0.0,top,L2,DFE201612E-2R2M=P2 ,,L_Murata_DFE201610P,2u2,smt
134.1,-54.7,-90.0,top,R1,RT0603DRD0747RL,,R_0603_1608Metric,33R,smt
149.875,-71.975,90.0,top,R10,AT0603FRD0710KL,,R_0603_1608Metric,10k,smt
